"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"600151","1998-06-05","1998","","","1998-05-28","1998-05-07","1998-06-05","A","68000000","5.7600","CNY","15.740","1.732639","0.15576","0.69227","33.15","18.17"
"600152","1998-06-09","1998","","","1993-07-28","1998-05-25","1998-06-09","A","45000000","4.5000","CNY","11.080","1.462222","0.18993","0.57478","49.89","11.16"
"600153","1998-06-16","1998","","","1998-06-10","1998-05-25","1998-06-16","A","50000000","6.0100","CNY","14.690","1.444260","0.14487","0.59556","46.52","13.01"
"600155","1998-09-18","1998","","","1998-07-21","1998-06-29","1998-09-18","A","50000000","5.0000","CNY","12.690","1.538000","0.13586","0.60380","45.48","12.07"
"600156","1998-05-27","1998","","","1998-05-19","1998-04-27","1998-05-27","A","85000000","5.2700","CNY","11.710","1.222011","0.13565","0.63437","50.21","10.84"
"600157","1998-05-13","1998","","","1988-04-01","1988-11-01","1998-05-13","A","19616800","1.0000","CNY","27.750","26.750000","0.09685","0.25973","70.39","13.03"
"600158","1998-03-27","1998","","","1998-03-13","1998-02-25","1998-03-27","A","45000000","5.8000","CNY","15.690","1.705172","0.16621","0.73869","71.77","21.37"
"600159","1998-05-26","1998","","","1998-05-08","1998-04-21","1998-05-26","A","40000000","7.4200","CNY","22.500","2.032345","0.14514","0.64508","51.82","27.81"
"600160","1998-06-26","1998","","","1998-06-17","1998-06-01","1998-06-26","A","80000000","5.7500","CNY","11.920","1.073043","0.13752","0.59210","32.82","12.87"
"600161","1998-06-16","1998","","","1998-06-08","1998-05-18","1998-06-16","A","30000000","4.0700","CNY","21.550","4.294840","0.15780","0.70132","112.44","28.00"
"600162","1998-06-09","1998","","","1994-01-30","1998-05-18","1998-06-09","A","35000000","4.0000","CNY","9.800","1.450000","0.14803","0.57733","40.94","6.62"
"600163","1998-06-02","1998","","","1998-05-26","1998-05-04","1998-06-02","A","70000000","4.7300","CNY","8.800","0.860465","0.11684","0.51574","28.51","7.75"
"600165","1998-05-29","1998","","","1998-05-14","1998-04-27","1998-05-29","A","45000000","5.0000","CNY","11.170","1.234000","0.17982","0.66684","51.69","11.75"
"600166","1998-06-02","1998","","","1996-08-28","1998-05-11","1998-06-02","A","50000000","6.4600","CNY","15.390","1.382353","0.12610","0.54396","56.37","14.24"
"600167","1999-01-28","1999","","","1999-01-25","1998-12-23","1999-01-28","A","70000000","5.2600","CNY","6.510","0.237643","0.12931","0.38061","37.58","6.21"
"600168","1998-04-27","1998","","","1997-01-10","1998-04-02","1998-04-27","A","85000000","6.9100","CNY","17.580","1.544139","0.14463","0.63688","44.06","19.20"
"600169","1998-09-04","1998","","","1998-07-06","1998-06-22","1998-09-04","A","80000000","4.1300","CNY","6.420","0.554479","0.17779","0.57315","35.48","10.11"
"600170","1998-06-23","1998","","","1998-06-15","1998-06-01","1998-06-23","A","150000000","6.6700","CNY","12.080","0.811094","0.11831","0.47061","35.70","13.81"
"600171","1998-09-24","1998","","","1998-08-28","1998-08-14","1998-09-24","A","120000000","6.5300","CNY","17.100","1.618683","0.24522","0.72905","52.17","26.68"
"600172","1998-11-26","1998","","","1998-11-03","1998-10-19","1998-11-26","A","40000000","6.4000","CNY","15.400","1.406250","0.21409","0.72553","57.32","22.91"
