month,MarketR,MarketR_e,rfmonth,ret,ret_e,marketret3,marketret6,marketret12,ipor,pd,l.pd,l.ipor
2011.25,-0.013563,-0.036504,0.00263516666666667,-0.0161981666666667,-0.0391391666666667,-0.0586965969971504,-0.200012064022126,-0.261296842157783,0.01639175,4.58413198427867,4.57275984233488,0.15092164516129
2011.33333333333,-0.060059,-0.073573,0.002669,-0.062728,-0.076242,-0.0559861630344304,-0.153001716040126,-0.204346720175696,0.0681374846153847,4.70599568935937,4.58413198427867,0.01639175
2011.41666666667,0.023841,0.035005,0.002669,0.021172,0.032336,-0.0419214979652729,-0.144582675992498,-0.151868750713402,0.174074412930193,4.176216879736,4.70599568935937,0.0681374846153847
2011.5,-0.010541,0.027272,0.00283190322580645,-0.0133729032258065,0.0244400967741936,-0.148331505277349,-0.226965754838544,-0.215837232867621,0.7720643385002,4.17266609310478,4.176216879736,0.174074412930193
2011.58333333333,-0.045975,-0.022195,0.002871,-0.048846,-0.025066,-0.101377179280215,-0.192201650410217,-0.252276756039078,0.49615169974988,4.13443624600367,4.17266609310478,0.7720643385002
2011.66666666667,-0.08867,-0.120641,0.002871,-0.091541,-0.123512,-0.105847745513193,-0.0909238175609233,-0.233306885363777,0.133427690696667,3.96177578095315,4.13443624600367,0.49615169974988
2011.75,0.04351,0.044183,0.002871,0.040639,0.041312,-0.0899174391612869,-0.0707948114990584,-0.133796072577654,0.330883,4.00713116483236,3.96177578095315,0.133427690696667
2011.83333333333,-0.050676,-0.041127,0.002871,-0.053547,-0.043998,-0.0991432924390855,-0.0563612287137998,-0.178957610513818,0.3551082,3.95277748117713,4.00713116483236,0.330883
2011.91666666667,-0.072589,-0.153333,0.002871,-0.07546,-0.156204,0.01754363071983,-0.00547555713914871,-0.18667858234923,0.0656239444444445,3.88665041749811,3.95277748117713,0.3551082
2012,0.033031,-0.006151,0.002871,0.03016,-0.009022,0.0216598151754639,0.0190179636941168,0.0175530311776495,0.0179599,3.92272400267705,3.88665041749811,0.0656239444444445
2012.08333333333,0.071121,0.13338,0.002871,0.06825,0.130509,0.0479809837410197,-0.068888392072844,0.0363811626731141,0.489458631317768,3.99895012364481,3.92272400267705,0.0179599
2012.16666666667,-0.068869,-0.074742,0.002871,-0.07174,-0.077613,-0.0225795612574655,-0.152080614282871,-0.0336653031575599,0.259110096296296,3.93592115821324,3.99895012364481,0.489458631317768
2012.25,0.059422,0.067141,0.002871,0.056551,0.06427,-0.00274247945789941,-0.0653622082280884,-0.013942473999121,0.150115475203,3.99652201026516,3.93592115821324,0.259110096296296
2012.33333333333,-0.000408,0.025258,0.002871,-0.003279,0.022387,-0.110975118164887,-0.126659161205858,-0.0935995270393473,0.284817315789474,3.94150235636368,3.99652201026516,0.150115475203
